geo\time,2016
EU (28 countries),8.6
EU (27 countries),8.5
Euro area (19 countries),10
Euro area (18 countries),10.1
Belgium,7.8
Bulgaria,7.6
Czech Republic,4
Denmark,6.2
Germany,4.1
Estonia,6.8
Ireland,7.9
Greece,23.6
Spain,19.6
France,10.1
Croatia,13.1
Italy,11.7
Cyprus,13
Latvia,9.6
Lithuania,7.9
Luxembourg,6.3
Hungary,5.1
Malta,4.7
Netherlands,6
Austria,6
Poland,6.2
Portugal,11.2
Romania,5.9
Slovenia,8
Slovakia,9.7
Finland,8.8
Sweden,7
United Kingdom,4.8
Iceland,3
Liechtenstein,:
Norway,4.7
Switzerland,5
Montenegro,:
The former Yugoslav Republic of Macedonia,23.7
Albania,:
Serbia,:
Turkey,10.9
