age,unit,sex,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,PC_ACT,T,AT	: 	: 	: 	: 	4.3 	4.2 	4.7 	4.7 	4.7 	4.2 	3.9 	4.0 	4.4 	4.8 i	5.5 	5.6 	5.3 	4.9 	4.1 	5.3 	4.8 	4.6 	4.9 	5.4 	5.6 	5.7 	6.0 
TOTAL,PC_ACT,T,BE	6.6 	6.4 	7.1 	8.6 	9.8 	9.7 	9.5 	9.2 	9.3 	8.4 	6.9 	6.6 	7.5 	8.2 	8.4 	8.5 	8.3 	7.5 	7.0 	7.9 	8.3 	7.2 	7.6 	8.4 	8.5 	8.5 	7.8 
TOTAL,PC_ACT,T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.4 	19.6 	18.2 	13.7 	12.1 	10.1 	9.0 	6.9 	5.6 	6.8 	10.3 i	11.3 	12.3 	13.0 	11.4 	9.2 	7.6 
TOTAL,PC_ACT,T,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	3.9 	3.5 	4.1 	4.6 i	5.3 	4.6 	3.9 	3.7 	5.4 	6.3 	7.9 	11.9 	15.9 	16.1 	15.0 	13.0 
TOTAL,PC_ACT,T,CZ	: 	: 	: 	4.3 	4.3 	4.0 	3.9 	4.8 	6.5 	8.7 	8.8 	8.1 	7.3 	7.8 	8.3 	7.9 	7.1 	5.3 	4.4 	6.7 	7.3 	6.7 	7.0 	7.0 	6.1 	5.1 	4.0 
TOTAL,PC_ACT,T,DE	: 	5.5 	6.6 	7.8 	8.4 	8.2 	8.9 	9.6 	9.4 	8.6 	7.9 	7.8 	8.6 	9.7 	10.4 	11.2 i	10.1 	8.5 	7.4 	7.6 	7.0 	5.8 	5.4 	5.2 	5.0 	4.6 	4.1 
TOTAL,PC_ACT,T,DK	7.2 	7.9 	8.6 	9.6 	7.7 	6.7 	6.3 	5.2 	4.9 	5.2 	4.3 	4.5 	4.6 	5.4 	5.5 	4.8 	3.9 i	3.8 	3.4 	6.0 	7.5 	7.6 	7.5 	7.0 	6.6 	6.2 	6.2 
TOTAL,PC_ACT,T,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.6 	8.8 	8.2 	8.5 	9.0 	9.3 	9.1 	8.4 	7.5 	7.6 	9.6 	10.1 	10.1 	11.4 	12.0 	11.6 	10.9 	10.0 
TOTAL,PC_ACT,T,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.7 	8.9 	8.3 	8.6 	9.1 	9.3 	9.1 	8.4 	7.5 	7.6 	9.6 	10.2 	10.2 	11.4 	12.0 	11.6 	10.9 	10.0 
TOTAL,PC_ACT,T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.6 	13.0 	11.2 	10.3 	10.1 	8.0 	5.9 	4.6 	5.5 i	13.5 	16.7 	12.3 	10.0 	8.6 	7.4 	6.2 	6.8 
