"Canton","Mois","Janvier 2016","Janvier 2016","Février 2016","Février 2016","Mars 2016","Mars 2016","Avril 2016","Avril 2016","Mai 2016","Mai 2016","Juin 2016","Juin 2016","Juillet 2016","Juillet 2016","Août 2016","Août 2016","Septembre 2016","Septembre 2016","Octobre 2016","Octobre 2016","Novembre 2016","Novembre 2016","Décembre 2016","Décembre 2016"
 ,"Mesures","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi","Chômeurs inscrits","Demandeurs d'emploi"
"Zurich",,"31'331","37'642","31'502","37'956","30'820","37'352","29'876","36'389","29'301","36'014","28'776","35'474","28'850","35'579","29'100","35'790","29'462","36'233","29'768","36'691","30'651","37'720","31'570","38'591"
"Berne",,"16'502","21'053","16'264","20'982","15'942","20'902","15'370","20'093","14'759","19'492","14'087","18'883","14'194","18'968","14'487","18'986","14'516","19'218","14'888","19'836","15'753","20'961","16'636","21'637"
"Lucerne",,"5'164","7'897","5'040","7'903","4'922","7'825","4'675","7'554","4'510","7'332","4'338","7'148","4'321","7'023","4'360","7'125","4'285","7'126","4'294","7'246","4'429","7'549","4'883","7'871"
"Uri",,"256","440","262","439","222","408","201","370","183","344","144","306","142","283","175","313","179","332","194","343","218","376","242","407"
"Schwyz",,"1'711","2'425","1'723","2'458","1'640","2'390","1'544","2'282","1'458","2'196","1'386","2'128","1'400","2'127","1'437","2'153","1'433","2'182","1'474","2'247","1'557","2'375","1'683","2'512"
"Obwald",,"221","409","252","426","263","431","232","397","221","389","184","355","201","347","188","340","168","335","209","367","195","359","222","359"
"Nidwald",,"306","525","271","536","291","538","256","506","269","511","262","506","295","498","292","493","265","508","262","499","265","519","303","510"
"Glaris",,"586","898","568","894","572","898","535","866","502","835","486","828","509","825","507","823","509","806","499","797","533","842","569","856"
