"Canton","Nationalité","Classes d'âge 15-24, 25-49, 50 ans et plus",,"Mois","Janvier 2016","Février 2016","Mars 2016","Avril 2016","Mai 2016","Juin 2016","Juillet 2016","Août 2016","Septembre 2016","Octobre 2016","Novembre 2016","Décembre 2016"
"Zurich","Etrangers","1","15-24 ans",,"1'318","1'283","1'187","1'113","1'040","960","1'128","1'141","1'162","1'182","1'162","1'163"
"Zurich","Etrangers","2","25-49 ans",,"10'787","10'848","10'578","10'182","9'942","9'620","9'323","9'357","9'570","9'775","10'308","10'803"
"Zurich","Etrangers","3","50 ans et plus",,"2'568","2'612","2'597","2'512","2'456","2'422","2'305","2'219","2'284","2'363","2'518","2'648"
"Zurich","Etrangers","Total",,,"14'673","14'743","14'362","13'807","13'438","13'002","12'756","12'717","13'016","13'320","13'988","14'614"
"Zurich","Suisses","1","15-24 ans",,"2'758","2'685","2'546","2'358","2'261","2'172","2'543","2'797","2'770","2'671","2'591","2'546"
"Zurich","Suisses","2","25-49 ans",,"9'237","9'351","9'216","9'001","8'930","8'888","8'898","8'913","8'939","9'045","9'209","9'461"
"Zurich","Suisses","3","50 ans et plus",,"4'663","4'723","4'696","4'710","4'672","4'714","4'653","4'673","4'737","4'732","4'863","4'949"
"Zurich","Suisses","Total",,,"16'658","16'759","16'458","16'069","15'863","15'774","16'094","16'383","16'446","16'448","16'663","16'956"
"Zurich","Total","",,,"31'331","31'502","30'820","29'876","29'301","28'776","28'850","29'100","29'462","29'768","30'651","31'570"
"Berne","Etrangers","1","15-24 ans",,"612","596","565","531","492","463","456","525","560","550","568","592"
"Berne","Etrangers","2","25-49 ans",,"4'603","4'477","4'350","4'148","3'914","3'693","3'600","3'571","3'579","3'863","4'258","4'553"
"Berne","Etrangers","3","50 ans et plus",,"1'307","1'310","1'327","1'260","1'156","1'089","1'050","1'041","1'081","1'162","1'257","1'343"
"Berne","Etrangers","Total",,,"6'522","6'383","6'242","5'939","5'562","5'245","5'106","5'137","5'220","5'575","6'083","6'488"
"Berne","Suisses","1","15-24 ans",,"1'813","1'682","1'560","1'486","1'331","1'222","1'379","1'724","1'665","1'593","1'645","1'723"
"Berne","Suisses","2","25-49 ans",,"5'116","5'100","5'019","4'851","4'855","4'679","4'743","4'722","4'721","4'750","4'954","5'248"
"Berne","Suisses","3","50 ans et plus",,"3'051","3'099","3'121","3'094","3'011","2'941","2'966","2'904","2'910","2'970","3'071","3'177"
"Berne","Suisses","Total",,,"9'980","9'881","9'700","9'431","9'197","8'842","9'088","9'350","9'296","9'313","9'670","10'148"
"Berne","Total","",,,"16'502","16'264","15'942","15'370","14'759","14'087","14'194","14'487","14'516","14'888","15'753","16'636"
"Lucerne","Etrangers","1","15-24 ans",,"291","274","269","245","218","206","228","264","254","246","257","286"
"Lucerne","Etrangers","2","25-49 ans",,"1'583","1'493","1'427","1'342","1'277","1'160","1'106","1'069","1'095","1'130","1'226","1'398"
"Lucerne","Etrangers","3","50 ans et plus",,"414","399","398","397","384","377","365","353","346","356","378","416"
"Lucerne","Etrangers","Total",,,"2'288","2'166","2'094","1'984","1'879","1'743","1'699","1'686","1'695","1'732","1'861","2'100"
"Lucerne","Suisses","1","15-24 ans",,"549","525","496","468","427","441","456","556","552","525","523","535"
"Lucerne","Suisses","2","25-49 ans",,"1'498","1'516","1'505","1'390","1'377","1'330","1'325","1'316","1'266","1'254","1'282","1'415"
"Lucerne","Suisses","3","50 ans et plus",,"829","833","827","833","827","824","841","802","772","783","763","833"
"Lucerne","Suisses","Total",,,"2'876","2'874","2'828","2'691","2'631","2'595","2'622","2'674","2'590","2'562","2'568","2'783"
"Lucerne","Total","",,,"5'164","5'040","4'922","4'675","4'510","4'338","4'321","4'360","4'285","4'294","4'429","4'883"
"Uri","Etrangers","1","15-24 ans",,"9","11","10","6","5","3","4","8","8","8","9","12"
"Uri","Etrangers","2","25-49 ans",,"106","105","91","86","68","53","45","52","55","69","82","95"
"Uri","Etrangers","3","50 ans et plus",,"29","37","31","27","21","16","17","14","14","21","23","28"
"Uri","Etrangers","Total",,,"144","153","132","119","94","72","66","74","77","98","114","135"
"Uri","Suisses","1","15-24 ans",,"27","24","15","14","16","9","7","30","28","20","21","17"
"Uri","Suisses","2","25-49 ans",,"51","53","44","37","39","28","27","36","42","48","52","56"
"Uri","Suisses","3","50 ans et plus",,"34","32","31","31","34","35","42","35","32","28","31","34"
"Uri","Suisses","Total",,,"112","109","90","82","89","72","76","101","102","96","104","107"
"Uri","Total","",,,"256","262","222","201","183","144","142","175","179","194","218","242"
"Schwyz","Etrangers","1","15-24 ans",,"93","89","91","81","70","62","63","72","68","66","71","72"
"Schwyz","Etrangers","2","25-49 ans",,"536","524","475","429","400","388","376","368","367","380","431","496"
"Schwyz","Etrangers","3","50 ans et plus",,"201","202","200","204","192","186","187","187","189","194","207","230"
"Schwyz","Etrangers","Total",,,"830","815","766","714","662","636","626","627","624","640","709","798"
"Schwyz","Suisses","1","15-24 ans",,"119","127","111","101","96","86","85","103","92","99","106","114"
"Schwyz","Suisses","2","25-49 ans",,"431","435","409","381","365","344","363","363","373","388","391","408"
"Schwyz","Suisses","3","50 ans et plus",,"331","346","354","348","335","320","326","344","344","347","351","363"
"Schwyz","Suisses","Total",,,"881","908","874","830","796","750","774","810","809","834","848","885"
"Schwyz","Total","",,,"1'711","1'723","1'640","1'544","1'458","1'386","1'400","1'437","1'433","1'474","1'557","1'683"
"Obwald","Etrangers","1","15-24 ans",,"15","13","12","11","8","3","7","12","12","11","14","16"
"Obwald","Etrangers","2","25-49 ans",,"73","80","73","67","62","52","52","48","46","52","47","56"
"Obwald","Etrangers","3","50 ans et plus",,"24","28","30","24","24","19","26","18","20","20","21","29"
"Obwald","Etrangers","Total",,,"112","121","115","102","94","74","85","78","78","83","82","101"
"Obwald","Suisses","1","15-24 ans",,"17","26","25","22","22","17","16","23","16","26","19","19"
"Obwald","Suisses","2","25-49 ans",,"49","58","66","67","62","53","57","49","41","59","57","56"
"Obwald","Suisses","3","50 ans et plus",,"43","47","57","41","43","40","43","38","33","41","37","46"
"Obwald","Suisses","Total",,,"109","131","148","130","127","110","116","110","90","126","113","121"
"Obwald","Total","",,,"221","252","263","232","221","184","201","188","168","209","195","222"
"Nidwald","Etrangers","1","15-24 ans",,"13","12","7","6","11","7","10","16","14","8","7","10"
"Nidwald","Etrangers","2","25-49 ans",,"86","69","75","61","66","68","80","64","58","60","68","81"
"Nidwald","Etrangers","3","50 ans et plus",,"21","18","22","18","18","19","25","24","19","20","21","31"
"Nidwald","Etrangers","Total",,,"120","99","104","85","95","94","115","104","91","88","96","122"
"Nidwald","Suisses","1","15-24 ans",,"24","25","25","24","24","16","16","30","29","24","31","29"
"Nidwald","Suisses","2","25-49 ans",,"82","73","80","70","79","79","80","78","66","70","55","66"
"Nidwald","Suisses","3","50 ans et plus",,"80","74","82","77","71","73","84","80","79","80","83","86"
"Nidwald","Suisses","Total",,,"186","172","187","171","174","168","180","188","174","174","169","181"
"Nidwald","Total","",,,"306","271","291","256","269","262","295","292","265","262","265","303"
"Glaris","Etrangers","1","15-24 ans",,"49","39","35","28","36","28","29","34","33","27","32","35"
"Glaris","Etrangers","2","25-49 ans",,"197","193","198","183","153","137","145","141","143","149","157","171"
"Glaris","Etrangers","3","50 ans et plus",,"75","65","72","69","65","63","58","60","62","60","67","73"
"Glaris","Etrangers","Total",,,"321","297","305","280","254","228","232","235","238","236","256","279"
"Glaris","Suisses","1","15-24 ans",,"58","52","45","38","38","39","49","54","54","47","56","57"
"Glaris","Suisses","2","25-49 ans",,"116","130","132","126","124","129","136","127","120","114","118","128"
"Glaris","Suisses","3","50 ans et plus",,"91","89","90","91","86","90","92","91","97","102","103","105"
"Glaris","Suisses","Total",,,"265","271","267","255","248","258","277","272","271","263","277","290"
"Glaris","Total","",,,"586","568","572","535","502","486","509","507","509","499","533","569"
"Zoug","Etrangers","1","15-24 ans",,"53","52","52","47","40","47","43","52","55","46","43","50"
"Zoug","Etrangers","2","25-49 ans",,"549","547","529","507","488","487","470","475","463","487","489","542"
"Zoug","Etrangers","3","50 ans et plus",,"173","179","179","182","195","185","184","177","174","182","199","207"
"Zoug","Etrangers","Total",,,"775","778","760","736","723","719","697","704","692","715","731","799"
"Zoug","Suisses","1","15-24 ans",,"115","111","101","88","87","86","93","129","119","111","99","111"
"Zoug","Suisses","2","25-49 ans",,"494","481","464","457","458","458","442","444","462","448","436","495"
"Zoug","Suisses","3","50 ans et plus",,"306","315","303","304","308","300","297","307","300","298","289","288"
"Zoug","Suisses","Total",,,"915","907","868","849","853","844","832","880","881","857","824","894"
"Zoug","Total","",,,"1'690","1'685","1'628","1'585","1'576","1'563","1'529","1'584","1'573","1'572","1'555","1'693"
"Fribourg","Etrangers","1","15-24 ans",,"305","279","242","210","179","164","161","300","245","214","226","240"
"Fribourg","Etrangers","2","25-49 ans",,"1'999","1'862","1'765","1'575","1'415","1'310","1'325","1'364","1'262","1'350","1'404","1'823"
"Fribourg","Etrangers","3","50 ans et plus",,"504","488","445","414","379","363","355","371","337","363","392","515"
"Fribourg","Etrangers","Total",,,"2'808","2'629","2'452","2'199","1'973","1'837","1'841","2'035","1'844","1'927","2'022","2'578"
"Fribourg","Suisses","1","15-24 ans",,"439","413","379","358","327","284","345","498","401","385","394","392"
"Fribourg","Suisses","2","25-49 ans",,"1'557","1'481","1'436","1'344","1'265","1'211","1'275","1'356","1'275","1'315","1'253","1'327"
"Fribourg","Suisses","3","50 ans et plus",,"808","784","754","738","713","698","756","749","711","710","708","741"
"Fribourg","Suisses","Total",,,"2'804","2'678","2'569","2'440","2'305","2'193","2'376","2'603","2'387","2'410","2'355","2'460"
"Fribourg","Total","",,,"5'612","5'307","5'021","4'639","4'278","4'030","4'217","4'638","4'231","4'337","4'377","5'038"
"Soleure","Etrangers","1","15-24 ans",,"281","256","230","202","184","187","232","305","265","256","239","255"
"Soleure","Etrangers","2","25-49 ans",,"1'399","1'358","1'305","1'232","1'185","1'109","1'087","1'089","1'138","1'184","1'270","1'416"
"Soleure","Etrangers","3","50 ans et plus",,"413","408","397","378","385","359","352","366","383","387","413","466"
"Soleure","Etrangers","Total",,,"2'093","2'022","1'932","1'812","1'754","1'655","1'671","1'760","1'786","1'827","1'922","2'137"
"Soleure","Suisses","1","15-24 ans",,"453","436","400","374","342","332","367","488","440","415","409","425"
"Soleure","Suisses","2","25-49 ans",,"1'254","1'244","1'257","1'244","1'229","1'174","1'113","1'126","1'183","1'183","1'218","1'268"
"Soleure","Suisses","3","50 ans et plus",,"832","852","861","851","864","852","812","808","811","807","831","849"
"Soleure","Suisses","Total",,,"2'539","2'532","2'518","2'469","2'435","2'358","2'292","2'422","2'434","2'405","2'458","2'542"
"Soleure","Total","",,,"4'632","4'554","4'450","4'281","4'189","4'013","3'963","4'182","4'220","4'232","4'380","4'679"
"Bâle-Ville","Etrangers","1","15-24 ans",,"157","165","156","158","154","144","162","177","156","143","152","158"
