"Année","Canton","Nationalité","Mesures","durchschnittliche Anzahl Arbeitslose","Taux de chômage (1 cav)","durchschnittliche Anzahl Jugendarbeitslose","Taux de chômage des jeunes (1 pdv)","durchschnittliche Anzahl Arbeitslose (älter als 50 Jahre)","Taux de chômage (1 cav)"
"2016","Zurich","Etrangers",,"13'703","6.0","1'153","6.6","2'459","6.3"
"2016","Zurich","Suisses",,"16'381","2.8","2'558","3.4","4'732","2.5"
"2016","Berne","Etrangers",,"5'792","6.5","543","7.0","1'199","6.9"
"2016","Berne","Suisses",,"9'491","2.0","1'569","2.4","3'026","1.9"
"2016","Lucerne","Etrangers",,"1'911","4.7","253","5.5","382","5.2"
"2016","Lucerne","Suisses",,"2'691","1.5","504","1.9","814","1.4"
"2016","Uri","Etrangers",,"107","4.2","8","3.1","23","4.0"
"2016","Uri","Suisses",,"95","0.6","19","0.7","33","0.7"
"2016","Schwyz","Etrangers",,"704","3.9","75","3.9","198","4.7"
"2016","Schwyz","Suisses",,"833","1.2","103","1.0","342","1.5"
"2016","Obwald","Etrangers",,"94","3.0","11","3.6","24","3.4"
"2016","Obwald","Suisses",,"119","0.7","21","0.8","42","0.7"
"2016","Nidwald","Etrangers",,"101","3.1","10","5.1","21","2.7"
"2016","Nidwald","Suisses",,"177","0.8","25","0.8","79","1.2"
"2016","Glaris","Etrangers",,"263","4.9","34","4.1","66","5.9"
"2016","Glaris","Suisses",,"268","1.6","49","1.9","94","1.6"
"2016","Zoug","Etrangers",,"736","4.0","48","3.7","185","4.7"
"2016","Zoug","Suisses",,"867","1.8","104","1.7","301","1.8"
"2016","Fribourg","Etrangers",,"2'179","5.8","230","5.1","411","6.7"
"2016","Fribourg","Suisses",,"2'465","1.9","385","2.3","739","1.9"
"2016","Soleure","Etrangers",,"1'864","5.9","241","5.8","392","6.1"
"2016","Soleure","Suisses",,"2'450","2.1","407","2.6","836","2.1"
"2016","Bâle-Ville","Etrangers",,"2'061","5.3","157","5.7","404","5.9"
"2016","Bâle-Ville","Suisses",,"1'771","2.9","257","4.0","478","2.2"
"2016","Bâle-Campagne","Etrangers",,"1'808","5.4","164","5.0","381","5.5"
"2016","Bâle-Campagne","Suisses",,"2'637","2.3","354","2.7","877","2.1"
"2016","Schaffhouse","Etrangers",,"748","6.4","87","6.9","162","6.5"
"2016","Schaffhouse","Suisses",,"690","2.2","130","2.8","216","1.8"
"2016","Appenzell Rhodes-Extérieures","Etrangers",,"205","3.9","19","4.4","57","4.4"
"2016","Appenzell Rhodes-Extérieures","Suisses",,"353","1.4","56","1.4","142","1.5"
"2016","Appenzell Rhodes-Intérieures","Etrangers",,"45","3.9","6","8.2","14","5.1"
"2016","Appenzell Rhodes-Intérieures","Suisses",,"54","0.7","11","0.7","18","0.8"
"2016","St-Gall","Etrangers",,"3'458","5.1","405","4.8","723","5.7"
"2016","St-Gall","Suisses",,"3'517","1.7","660","1.9","1'140","1.7"
"2016","Grisons","Etrangers",,"1'044","4.6","74","4.2","227","4.9"
"2016","Grisons","Suisses",,"841","1.0","149","1.2","294","0.9"
"2016","Argovie","Etrangers",,"5'480","6.2","605","5.8","1'109","6.5"
"2016","Argovie","Suisses",,"6'004","2.2","922","2.5","1'988","2.1"
"2016","Thurgovie","Etrangers",,"1'861","4.9","226","5.2","422","5.1"
"2016","Thurgovie","Suisses",,"1'933","1.7","373","2.1","626","1.6"
"2016","Tessin","Etrangers",,"2'721","5.4","206","5.8","732","5.4"
"2016","Tessin","Suisses",,"3'156","2.7","593","4.9","951","2.5"
"2016","Vaud","Etrangers",,"9'578","6.8","743","6.1","1'888","6.7"
"2016","Vaud","Suisses",,"9'163","3.6","1'232","3.8","2'493","3.0"
"2016","Valais","Etrangers",,"3'590","8.2","355","7.3","816","9.0"
"2016","Valais","Suisses",,"3'283","2.5","585","3.3","936","2.2"
"2016","Neuchâtel","Etrangers",,"2'423","9.1","234","8.3","451","9.5"
"2016","Neuchâtel","Suisses",,"2'942","4.5","522","5.8","765","3.6"
"2016","Genève","Etrangers",,"6'535","6.3","380","6.0","1'175","5.2"
"2016","Genève","Suisses",,"6'431","4.9","687","5.1","1'550","3.5"
"2016","Jura","Etrangers",,"597","10.6","75","14.4","114","9.3"
"2016","Jura","Suisses",,"1'099","3.5","216","4.6","347","3.4"
